class,seed,destination,or_obj,or_drive,or_stops_term,or_walk,or_spread,or_fairness,or_runtime_ms,or_status,or_gap,or_branches,or_stops,heur_obj,heur_drive,heur_stops_term,heur_walk,heur_spread,heur_fairness,heur_runtime_ms,heur_stops,heur_iters,heur_accept,gap_pct
5p/2d,11,Bondi Beach,77.6031,75.6031,2.0000,0.0000,0.0000,0.0000,209,Optimal,0.0000,1735,5,77.6031,75.6031,2.0000,0.0000,0.0000,0.0000,10002,5,41645554,0.0076,0.0000
5p/2d,23,Wattamolla (Royal NP),108.8078,106.8078,2.0000,0.0000,0.0000,0.0000,65,Optimal,0.0000,7866,5,108.8078,106.8078,2.0000,0.0000,0.0000,0.0000,10000,5,35096581,0.0125,0.0000
5p/2d,37,Palm Beach,143.5402,139.7410,2.0000,0.0000,0.8996,0.8996,50,Optimal,0.0000,2072,5,143.5402,139.7410,2.0000,0.0000,0.8996,0.8996,10000,5,34887225,0.0100,0.0000
5p/2d,41,Palm Beach,158.5642,136.9321,2.0000,0.0000,9.8161,9.8161,52,Optimal,0.0000,11970,5,158.5642,136.9321,2.0000,0.0000,9.8161,9.8161,10000,5,39861868,0.0117,0.0000
5p/2d,53,Bondi Beach,145.4783,129.2434,2.0000,0.0000,7.1175,7.1175,310,Optimal,0.0000,79558,5,145.4783,129.2434,2.0000,0.0000,7.1175,7.1175,10000,5,33448563,0.0242,0.0000
5p/3d,11,Bondi Beach,115.2691,97.1265,2.0000,0.0000,8.0713,8.0713,223,Optimal,0.0000,75061,5,115.2691,97.1265,2.0000,0.0000,8.0713,8.0713,10000,5,36782272,0.0070,0.0000
5p/3d,23,Wattamolla (Royal NP),134.1138,130.9333,2.0000,0.0000,0.5902,0.5902,35,Optimal,0.0000,4237,5,134.1138,130.9333,2.0000,0.0000,0.5902,0.5902,10000,5,37827760,0.0062,0.0000
5p/3d,37,Palm Beach,162.5590,159.8550,2.0000,0.0000,0.3520,0.3520,61,Optimal,0.0000,7964,5,162.5590,159.8550,2.0000,0.0000,0.3520,0.3520,10000,5,36097339,0.0065,0.0000
5p/3d,41,Palm Beach,137.0959,134.4980,2.0000,0.0000,0.2990,0.2990,184,Optimal,0.0000,4813,5,137.0959,134.4980,2.0000,0.0000,0.2990,0.2990,10000,5,34943618,0.0048,0.0000
5p/3d,53,Bondi Beach,110.0280,102.8152,2.0000,0.0000,2.6064,2.6064,720,Optimal,0.0000,174345,5,110.0280,102.8152,2.0000,0.0000,2.6064,2.6064,10000,5,29808191,0.0107,0.0000
5p/5d,11,Bondi Beach,151.9392,113.9878,2.0000,0.0000,17.9757,17.9757,3172,Optimal,0.0000,165394,5,151.9392,119.7608,2.0000,0.0000,15.0892,15.0892,10000,5,24413963,0.0244,0.0000
5p/5d,23,Wattamolla (Royal NP),189.6441,183.5447,2.0000,0.0000,2.0497,2.0497,287,Optimal,0.0000,67430,5,189.6441,183.5447,2.0000,0.0000,2.0497,2.0497,10000,5,30487912,0.0120,0.0000
5p/5d,37,Palm Beach,178.7881,150.0979,2.0000,0.0000,13.3451,13.3451,742,Optimal,0.0000,88835,5,178.7881,150.0979,2.0000,0.0000,13.3451,13.3451,10000,5,23219981,0.0150,0.0000
5p/5d,41,Palm Beach,181.0061,159.4214,2.0000,0.0000,9.7924,9.7924,457,Optimal,0.0000,42855,5,181.0061,159.4214,2.0000,0.0000,9.7924,9.7924,10000,5,26390364,0.0255,0.0000
5p/5d,53,Bondi Beach,143.9828,122.0864,2.0000,0.0000,9.9482,9.9482,847,Optimal,0.0000,82307,5,143.9828,117.9488,2.0000,0.0000,12.0170,12.0170,10000,5,26556030,0.0350,0.0000
10p/2d,11,Bondi Beach,251.7144,238.9380,4.0000,0.0000,4.3882,4.3882,10022,Feasible,0.2967,358342,10,251.7144,239.9164,4.0000,0.0000,3.8990,3.8990,10001,10,21896037,0.1127,0.0000
10p/2d,23,Wattamolla (Royal NP),190.5145,186.2038,4.0000,0.0000,0.1554,0.1554,10032,Feasible,0.1185,407718,10,188.3078,182.9654,4.0000,0.0000,0.6712,0.6712,10000,10,24083640,0.0213,-1.1583
10p/2d,37,Palm Beach,161.0519,151.0829,4.0000,0.0000,2.9845,2.9845,2102,Optimal,0.0000,205621,10,161.0519,145.3958,4.0000,0.0000,5.8281,5.8281,10000,10,25480763,0.0411,-0.0000
